Data,model_cnn_simple,model_lstmbi_dense,model_mlp_3L,model_mlp_4L,model_mlp_simple,model_rnn_gru_3L,model_rnn_simple
Adiac,0.24040921032428741,0.017902813851833344,0.13810741901397705,0.1355498731136322,0.12276215106248856,0.01534526888281107,0.023017901927232742
ArrowHead,0.7142857313156128,0.7142857313156128,0.5714285969734192,0.5828571319580078,0.6342856884002686,0.3085714280605316,0.3942857086658478
Beef,0.46666666865348816,0.3333333432674408,0.36666667461395264,0.3333333432674408,0.3333333432674408,0.30000001192092896,0.23333333432674408
BeetleFly,0.5,0.5,0.800000011920929,0.5,0.44999998807907104,0.5,0.6499999761581421
BirdChicken,0.6000000238418579,0.6000000238418579,0.5,0.6000000238418579,0.6499999761581421,0.5,0.44999998807907104
CBF,0.948888897895813,0.9422222375869751,0.8677777647972107,0.9233333468437195,0.3222222328186035,0.3311111032962799,0.3499999940395355
Car,0.6666666865348816,0.6833333373069763,0.6000000238418579,0.6833333373069763,0.5166666507720947,0.3166666626930237,0.23333333432674408
ChlorineConcentration,0.5325520634651184,0.5325520634651184,0.5325520634651184,0.5325520634651184,0.5325520634651184,0.5354166626930237,0.5325520634651184
CinCECGtorso,0.24782608449459076,0.24855072796344757,0.25,0.24782608449459076,0.24782608449459076,0.24855072796344757,0.24855072796344757
Coffee,1.0,0.6428571343421936,1.0,0.8571428656578064,0.4642857015132904,0.3928571343421936,0.8928571343421936
Computers,0.5720000267028809,0.5759999752044678,0.5,0.5,0.46799999475479126,0.5,0.5600000023841858
CricketX,0.528205156326294,0.5333333611488342,0.42820513248443604,0.42307692766189575,0.28717949986457825,0.1051282063126564,0.09743589907884598
CricketY,0.5230769515037537,0.25128206610679626,0.36153846979141235,0.31794872879981995,0.15641026198863983,0.09487179666757584,0.0743589773774147
CricketZ,0.4564102590084076,0.5538461804389954,0.36666667461395264,0.3641025722026825,0.25128206610679626,0.0743589773774147,0.09487179666757584
DiatomSizeReduction,0.30392158031463623,0.8562091588973999,0.9346405267715454,0.5947712659835815,0.09803921729326248,0.28431373834609985,0.3006536066532135
DistalPhalanxOutlineAgeGroup,0.7266187071800232,0.6834532618522644,0.7482014298439026,0.7410072088241577,0.6187050342559814,0.5467625856399536,0.7266187071800232
DistalPhalanxOutlineCorrect,0.760869562625885,0.7246376872062683,0.7536231875419617,0.7137681245803833,0.5978260636329651,0.5833333134651184,0.5144927501678467
DistalPhalanxTW,0.6978417038917542,0.6978417038917542,0.6834532618522644,0.6906474828720093,0.5827338099479675,0.28057554364204407,0.6762589812278748
ECG200,0.7900000214576721,0.7599999904632568,0.8700000047683716,0.75,0.8100000023841858,0.6399999856948853,0.7699999809265137
ECG5000,0.9273333549499512,0.9344444274902344,0.9344444274902344,0.925777792930603,0.9164444208145142,0.5837777853012085,0.9122222065925598
ECGFiveDays,0.49709638953208923,0.49709638953208923,0.49709638953208923,0.49709638953208923,0.49709638953208923,0.49709638953208923,0.49709638953208923
Earthquakes,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026
ElectricDevices,0.6270263195037842,0.6494618058204651,0.5734664797782898,0.5162754654884338,0.43976137042045593,0.2423810213804245,0.25677603483200073
FaceAll,0.7218934893608093,0.721301794052124,0.7917159795761108,0.6905325651168823,0.49585798382759094,0.018934911116957664,0.24201183021068573
FaceFour,0.7954545617103577,0.8636363744735718,0.8181818127632141,0.5909090638160706,0.35227271914482117,0.25,0.1931818127632141
FacesUCR,0.7326829433441162,0.5697560906410217,0.6282926797866821,0.5785365700721741,0.07560975849628448,0.09365853667259216,0.4097560942173004
FiftyWords,0.5780220031738281,0.40439561009407043,0.6395604610443115,0.6065934300422668,0.5472527742385864,0.04175824299454689,0.12527473270893097
Fish,0.645714282989502,0.5542857050895691,0.6285714507102966,0.7428571581840515,0.5942857265472412,0.1428571492433548,0.1599999964237213
FordA,0.8727272748947144,0.5159090757369995,0.5151515007019043,0.5159090757369995,0.48636364936828613,0.5098484754562378,0.49242424964904785
FordB,0.709876537322998,0.4950617253780365,0.4950617253780365,0.4950617253780365,0.5012345910072327,0.4950617253780365,0.5123456716537476
GunPoint,0.6800000071525574,0.5066666603088379,0.7933333516120911,0.4933333396911621,0.5199999809265137,0.5066666603088379,0.4933333396911621
Ham,0.8095238208770752,0.5142857432365417,0.7714285850524902,0.7333333492279053,0.6857143044471741,0.5142857432365417,0.5904762148857117
HandOutlines,0.8999999761581421,0.6405405402183533,0.8675675392150879,0.8783783912658691,0.8702702522277832,0.6405405402183533,0.6405405402183533
Haptics,0.19155843555927277,0.18831168115139008,0.2175324708223343,0.20779220759868622,0.22077922523021698,0.19155843555927277,0.29870128631591797
Herring,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375
InlineSkate,0.16363635659217834,0.18000000715255737,0.1581818163394928,0.1818181872367859,0.18000000715255737,0.0854545459151268,0.15454545617103577
InsectWingbeatSound,0.6000000238418579,0.596969723701477,0.5954545736312866,0.6116161346435547,0.6212121248245239,0.09090909361839294,0.14696969091892242
ItalyPowerDemand,0.9504373073577881,0.9562682509422302,0.9533527493476868,0.9533527493476868,0.5150631666183472,0.5014577507972717,0.9086491465568542
LargeKitchenAppliances,0.41600000858306885,0.4346666634082794,0.3946666717529297,0.41066667437553406,0.4266666769981384,0.3333333432674408,0.3226666748523712
Lightning2,0.5409836173057556,0.7540983557701111,0.7377049326896667,0.6065573692321777,0.7704917788505554,0.5409836173057556,0.5409836173057556
Lightning7,0.2602739632129669,0.5068492889404297,0.6164383292198181,0.534246563911438,0.10958904027938843,0.2602739632129669,0.27397260069847107
Mallat,0.9501066207885742,0.6507462859153748,0.9522387981414795,0.8827292323112488,0.3710021376609802,0.12409381568431854,0.12324094027280807
Meat,0.3333333432674408,0.3333333432674408,0.46666666865348816,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408
MedicalImages,0.5447368621826172,0.5842105150222778,0.6671052575111389,0.6000000238418579,0.5144736766815186,0.4710526168346405,0.5144736766815186
MiddlePhalanxOutlineAgeGroup,0.5844155550003052,0.6233766078948975,0.5974025726318359,0.6298701167106628,0.5779221057891846,0.18831168115139008,0.6103895902633667
MiddlePhalanxOutlineCorrect,0.7628865838050842,0.7457044720649719,0.7800687551498413,0.5876288414001465,0.5704467296600342,0.5704467296600342,0.5704467296600342
MiddlePhalanxTW,0.5974025726318359,0.5584415793418884,0.551948070526123,0.5844155550003052,0.551948070526123,0.2857142984867096,0.6233766078948975
MoteStrain,0.8674121499061584,0.4608626067638397,0.8530351519584656,0.4608626067638397,0.7955271601676941,0.4608626067638397,0.5399361252784729
NonInvasiveFatalECGThorax1,0.8055979609489441,0.018320610746741295,0.24325700104236603,0.018320610746741295,0.31450381875038147,0.020865140482783318,0.01984732784330845
NonInvasiveFatalECGThorax2,0.8284987211227417,0.020865140482783318,0.4926208555698395,0.020865140482783318,0.49007633328437805,0.01882951706647873,0.05547073855996132
OSULeaf,0.3801652789115906,0.44214877486228943,0.5247933864593506,0.4586776793003082,0.3057851195335388,0.1818181872367859,0.23140496015548706
OliveOil,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645
PhalangesOutlinesCorrect,0.7832167744636536,0.7226107120513916,0.7156177163124084,0.631701648235321,0.6212121248245239,0.6130536198616028,0.6340326070785522
Phoneme,0.17299577593803406,0.09335443377494812,0.10337552428245544,0.11286919564008713,0.11286919564008713,0.05379746854305267,0.11286919564008713
Plane,0.9428571462631226,0.9523809552192688,0.961904764175415,0.961904764175415,0.8952381014823914,0.095238097012043,0.3142857253551483
ProximalPhalanxOutlineAgeGroup,0.8195121884346008,0.8536585569381714,0.8439024686813354,0.8634146451950073,0.8487805128097534,0.4292683005332947,0.8097561001777649
ProximalPhalanxOutlineCorrect,0.9037800431251526,0.7147766351699829,0.7628865838050842,0.7835051417350769,0.7491409182548523,0.6838487982749939,0.738831639289856
ProximalPhalanxTW,0.8048780560493469,0.800000011920929,0.790243923664093,0.795121967792511,0.6731707453727722,0.19512194395065308,0.7756097316741943
RefrigerationDevices,0.335999995470047,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3440000116825104,0.328000009059906,0.3199999928474426
ScreenType,0.41333332657814026,0.4560000002384186,0.4320000112056732,0.3333333432674408,0.4320000112056732,0.3333333432674408,0.3333333432674408
ShapeletSim,0.5277777910232544,0.5,0.46666666865348816,0.47777777910232544,0.5222222208976746,0.5,0.4888888895511627
ShapesAll,0.5183333158493042,0.398333340883255,0.5550000071525574,0.6299999952316284,0.550000011920929,0.018333332613110542,0.01666666753590107
SmallKitchenAppliances,0.5120000243186951,0.3466666638851166,0.328000009059906,0.3386666774749756,0.335999995470047,0.335999995470047,0.3333333432674408
SonyAIBORobotSurface1,0.7321131229400635,0.6589018106460571,0.4292845129966736,0.8103161454200745,0.44425955414772034,0.4292845129966736,0.9068219661712646
SonyAIBORobotSurface2,0.8006296157836914,0.7628541588783264,0.8363063931465149,0.6169989705085754,0.6295907497406006,0.6169989705085754,0.8132213950157166
StarlightCurves,0.8687469363212585,0.8556337952613831,0.855876624584198,0.8559980392456055,0.8553909659385681,0.5772219300270081,0.8204225301742554
Strawberry,0.9270270466804504,0.9189189076423645,0.699999988079071,0.6432432532310486,0.6324324607849121,0.6432432532310486,0.6432432532310486
SwedishLeaf,0.8432000279426575,0.7839999794960022,0.7712000012397766,0.7103999853134155,0.4047999978065491,0.05920000001788139,0.1120000034570694
Symbols,0.8291457295417786,0.6984924674034119,0.8592965006828308,0.8010050058364868,0.08944723755121231,0.21608039736747742,0.17386934161186218
SyntheticControl,0.9233333468437195,0.9666666388511658,0.9399999976158142,0.9433333277702332,0.8066666722297668,0.1899999976158142,0.8999999761581421
ToeSegmentation1,0.4736842215061188,0.4736842215061188,0.5219298005104065,0.5263158082962036,0.4868420958518982,0.5263158082962036,0.5526315569877625
ToeSegmentation2,0.1846153885126114,0.1846153885126114,0.23076923191547394,0.8153846263885498,0.32307693362236023,0.1846153885126114,0.4000000059604645
Trace,0.6399999856948853,0.7300000190734863,0.6499999761581421,0.6100000143051147,0.5299999713897705,0.23999999463558197,0.1899999976158142
TwoLeadECG,0.49956101179122925,0.49956101179122925,0.49956101179122925,0.6523265838623047,0.45478489995002747,0.4837576746940613,0.5425812005996704
TwoPatterns,0.9837499856948853,0.9822499752044678,0.8934999704360962,0.8619999885559082,0.753250002861023,0.2487500011920929,0.546500027179718
UWaveGestureLibraryAll,0.9154103994369507,0.858458936214447,0.9410943388938904,0.9017308950424194,0.8894472122192383,0.12618649005889893,0.20630931854248047
UWaveGestureLibraryX,0.7361809015274048,0.44109436869621277,0.695421576499939,0.7018425464630127,0.6379117965698242,0.13512004911899567,0.3068118393421173
UWaveGestureLibraryY,0.6527079939842224,0.6376326084136963,0.641261875629425,0.6309324502944946,0.5586264729499817,0.20463427901268005,0.42908990383148193
UWaveGestureLibraryZ,0.67867112159729,0.6426577568054199,0.6471245288848877,0.6457286477088928,0.570351779460907,0.12479061633348465,0.2347850352525711
Wafer,0.9889681935310364,0.990590512752533,0.9938351511955261,0.9899415969848633,0.9224529266357422,0.8921155333518982,0.8921155333518982
Wine,0.5,0.5,0.5,0.5,0.46296295523643494,0.5,0.5
WordSynonyms,0.4592476487159729,0.5595611333847046,0.4326018691062927,0.43103447556495667,0.40595611929893494,0.21630093455314636,0.21943573653697968
Worms,0.3896103799343109,0.16883116960525513,0.3896103799343109,0.4285714328289032,0.4285714328289032,0.20779220759868622,0.4285714328289032
WormsTwoClass,0.5324675440788269,0.4285714328289032,0.5714285969734192,0.4675324559211731,0.5584415793418884,0.5584415793418884,0.5324675440788269
Yoga,0.5533333420753479,0.5356666445732117,0.6576666831970215,0.6413333415985107,0.5513333082199097,0.5356666445732117,0.4950000047683716
