Data,model_cnn_simple,model_lstmbi_dense,model_mlp_3L,model_mlp_4L,model_mlp_simple,model_rnn_gru_3L,model_rnn_simple,Train_Size,Test_Size,Length,Num_Classes
Adiac,0.2404092103242874,0.0179028138518333,0.138107419013977,0.1355498731136322,0.1227621510624885,0.015345268882811,0.0230179019272327,390,391,176,37
ArrowHead,0.7142857313156128,0.7142857313156128,0.5714285969734192,0.5828571319580078,0.6342856884002686,0.3085714280605316,0.3942857086658478,36,175,251,3
Beef,0.4666666686534881,0.3333333432674408,0.3666666746139526,0.3333333432674408,0.3333333432674408,0.3000000119209289,0.233333334326744,30,30,470,5
BeetleFly,0.5,0.5,0.800000011920929,0.5,0.449999988079071,0.5,0.6499999761581421,20,20,512,2
BirdChicken,0.6000000238418579,0.6000000238418579,0.5,0.6000000238418579,0.6499999761581421,0.5,0.449999988079071,20,20,512,2
CBF,0.948888897895813,0.9422222375869752,0.8677777647972107,0.9233333468437196,0.3222222328186035,0.3311111032962799,0.3499999940395355,30,900,128,3
Car,0.6666666865348816,0.6833333373069763,0.6000000238418579,0.6833333373069763,0.5166666507720947,0.3166666626930237,0.233333334326744,60,60,577,4
ChlorineConcentration,0.5325520634651184,0.5325520634651184,0.5325520634651184,0.5325520634651184,0.5325520634651184,0.5354166626930237,0.5325520634651184,467,3840,166,3
CinCECGtorso,0.2478260844945907,0.2485507279634475,0.25,0.2478260844945907,0.2478260844945907,0.2485507279634475,0.2485507279634475,40,1380,1639,4
Coffee,1.0,0.6428571343421936,1.0,0.8571428656578064,0.4642857015132904,0.3928571343421936,0.8928571343421936,28,28,286,2
Computers,0.5720000267028809,0.5759999752044678,0.5,0.5,0.4679999947547912,0.5,0.5600000023841858,250,250,720,2
CricketX,0.528205156326294,0.5333333611488342,0.428205132484436,0.4230769276618957,0.2871794998645782,0.1051282063126564,0.0974358990788459,390,390,300,12
CricketY,0.5230769515037537,0.2512820661067962,0.3615384697914123,0.3179487287998199,0.1564102619886398,0.0948717966675758,0.0743589773774147,390,390,300,12
CricketZ,0.4564102590084076,0.5538461804389954,0.3666666746139526,0.3641025722026825,0.2512820661067962,0.0743589773774147,0.0948717966675758,390,390,300,12
DiatomSizeReduction,0.3039215803146362,0.8562091588973999,0.9346405267715454,0.5947712659835815,0.0980392172932624,0.2843137383460998,0.3006536066532135,16,306,345,4
DistalPhalanxOutlineAgeGroup,0.7266187071800232,0.6834532618522644,0.7482014298439026,0.7410072088241577,0.6187050342559814,0.5467625856399536,0.7266187071800232,400,139,80,3
DistalPhalanxOutlineCorrect,0.760869562625885,0.7246376872062683,0.7536231875419617,0.7137681245803833,0.5978260636329651,0.5833333134651184,0.5144927501678467,600,276,80,2
DistalPhalanxTW,0.6978417038917542,0.6978417038917542,0.6834532618522644,0.6906474828720093,0.5827338099479675,0.280575543642044,0.6762589812278748,400,139,80,6
ECG200,0.7900000214576721,0.7599999904632568,0.8700000047683716,0.75,0.8100000023841858,0.6399999856948853,0.7699999809265137,100,100,96,2
ECG5000,0.9273333549499512,0.9344444274902344,0.9344444274902344,0.925777792930603,0.9164444208145142,0.5837777853012085,0.9122222065925598,500,4500,140,5
ECGFiveDays,0.4970963895320892,0.4970963895320892,0.4970963895320892,0.4970963895320892,0.4970963895320892,0.4970963895320892,0.4970963895320892,23,861,136,2
Earthquakes,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,322,139,512,2
ElectricDevices,0.6270263195037842,0.6494618058204651,0.5734664797782898,0.5162754654884338,0.4397613704204559,0.2423810213804245,0.2567760348320007,8926,7711,96,7
FaceAll,0.7218934893608093,0.721301794052124,0.7917159795761108,0.6905325651168823,0.4958579838275909,0.0189349111169576,0.2420118302106857,560,1690,131,14
FaceFour,0.7954545617103577,0.8636363744735718,0.8181818127632141,0.5909090638160706,0.3522727191448211,0.25,0.1931818127632141,24,88,350,4
FacesUCR,0.7326829433441162,0.5697560906410217,0.6282926797866821,0.5785365700721741,0.0756097584962844,0.0936585366725921,0.4097560942173004,200,2050,131,14
FiftyWords,0.5780220031738281,0.4043956100940704,0.6395604610443115,0.6065934300422668,0.5472527742385864,0.0417582429945468,0.1252747327089309,450,455,270,50
Fish,0.645714282989502,0.5542857050895691,0.6285714507102966,0.7428571581840515,0.5942857265472412,0.1428571492433548,0.1599999964237213,175,175,463,7
FordA,0.8727272748947144,0.5159090757369995,0.5151515007019043,0.5159090757369995,0.4863636493682861,0.5098484754562378,0.4924242496490478,3601,1320,500,2
FordB,0.709876537322998,0.4950617253780365,0.4950617253780365,0.4950617253780365,0.5012345910072327,0.4950617253780365,0.5123456716537476,3636,810,500,2
GunPoint,0.6800000071525574,0.5066666603088379,0.7933333516120911,0.4933333396911621,0.5199999809265137,0.5066666603088379,0.4933333396911621,50,150,150,2
Ham,0.8095238208770752,0.5142857432365417,0.7714285850524902,0.7333333492279053,0.6857143044471741,0.5142857432365417,0.5904762148857117,109,105,431,2
HandOutlines,0.8999999761581421,0.6405405402183533,0.8675675392150879,0.8783783912658691,0.8702702522277832,0.6405405402183533,0.6405405402183533,1000,370,2709,2
Haptics,0.1915584355592727,0.18831168115139,0.2175324708223343,0.2077922075986862,0.2207792252302169,0.1915584355592727,0.2987012863159179,155,308,1092,5
Herring,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,0.59375,64,64,512,2
InlineSkate,0.1636363565921783,0.1800000071525573,0.1581818163394928,0.1818181872367859,0.1800000071525573,0.0854545459151268,0.1545454561710357,100,550,1882,7
InsectWingbeatSound,0.6000000238418579,0.596969723701477,0.5954545736312866,0.6116161346435547,0.6212121248245239,0.0909090936183929,0.1469696909189224,220,1980,256,11
ItalyPowerDemand,0.950437307357788,0.9562682509422302,0.9533527493476868,0.9533527493476868,0.5150631666183472,0.5014577507972717,0.9086491465568542,67,1029,24,2
LargeKitchenAppliances,0.4160000085830688,0.4346666634082794,0.3946666717529297,0.410666674375534,0.4266666769981384,0.3333333432674408,0.3226666748523712,375,375,720,3
Lightning2,0.5409836173057556,0.7540983557701111,0.7377049326896667,0.6065573692321777,0.7704917788505554,0.5409836173057556,0.5409836173057556,60,61,637,2
Lightning7,0.2602739632129669,0.5068492889404297,0.6164383292198181,0.534246563911438,0.1095890402793884,0.2602739632129669,0.273972600698471,70,73,319,7
Mallat,0.9501066207885742,0.6507462859153748,0.9522387981414796,0.8827292323112488,0.3710021376609802,0.1240938156843185,0.123240940272808,55,2345,1024,8
Meat,0.3333333432674408,0.3333333432674408,0.4666666686534881,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,60,60,448,3
MedicalImages,0.5447368621826172,0.5842105150222778,0.6671052575111389,0.6000000238418579,0.5144736766815186,0.4710526168346405,0.5144736766815186,381,760,99,10
MiddlePhalanxOutlineAgeGroup,0.5844155550003052,0.6233766078948975,0.5974025726318359,0.6298701167106628,0.5779221057891846,0.18831168115139,0.6103895902633667,400,154,80,3
MiddlePhalanxOutlineCorrect,0.7628865838050842,0.7457044720649719,0.7800687551498413,0.5876288414001465,0.5704467296600342,0.5704467296600342,0.5704467296600342,600,291,80,2
MiddlePhalanxTW,0.5974025726318359,0.5584415793418884,0.551948070526123,0.5844155550003052,0.551948070526123,0.2857142984867096,0.6233766078948975,399,154,80,6
MoteStrain,0.8674121499061584,0.4608626067638397,0.8530351519584656,0.4608626067638397,0.7955271601676941,0.4608626067638397,0.5399361252784729,20,1252,84,2
NonInvasiveFatalECGThorax1,0.8055979609489441,0.0183206107467412,0.243257001042366,0.0183206107467412,0.3145038187503814,0.0208651404827833,0.0198473278433084,1800,1965,750,42
NonInvasiveFatalECGThorax2,0.8284987211227417,0.0208651404827833,0.4926208555698395,0.0208651404827833,0.490076333284378,0.0188295170664787,0.0554707385599613,1800,1965,750,42
OSULeaf,0.3801652789115906,0.4421487748622894,0.5247933864593506,0.4586776793003082,0.3057851195335388,0.1818181872367859,0.231404960155487,200,242,427,6
OliveOil,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,30,30,570,4
PhalangesOutlinesCorrect,0.7832167744636536,0.7226107120513916,0.7156177163124084,0.631701648235321,0.6212121248245239,0.6130536198616028,0.6340326070785522,1800,858,80,2
Phoneme,0.172995775938034,0.0933544337749481,0.1033755242824554,0.1128691956400871,0.1128691956400871,0.0537974685430526,0.1128691956400871,214,1896,1024,39
Plane,0.9428571462631226,0.9523809552192688,0.961904764175415,0.961904764175415,0.8952381014823914,0.095238097012043,0.3142857253551483,105,105,144,7
ProximalPhalanxOutlineAgeGroup,0.8195121884346008,0.8536585569381714,0.8439024686813354,0.8634146451950073,0.8487805128097534,0.4292683005332947,0.8097561001777649,400,205,80,3
ProximalPhalanxOutlineCorrect,0.9037800431251526,0.7147766351699829,0.7628865838050842,0.7835051417350769,0.7491409182548523,0.6838487982749939,0.738831639289856,600,291,80,2
ProximalPhalanxTW,0.8048780560493469,0.800000011920929,0.790243923664093,0.795121967792511,0.6731707453727722,0.195121943950653,0.7756097316741943,400,205,80,6
RefrigerationDevices,0.335999995470047,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3440000116825104,0.328000009059906,0.3199999928474426,375,375,720,3
ScreenType,0.4133333265781402,0.4560000002384186,0.4320000112056732,0.3333333432674408,0.4320000112056732,0.3333333432674408,0.3333333432674408,375,375,720,3
ShapeletSim,0.5277777910232544,0.5,0.4666666686534881,0.4777777791023254,0.5222222208976746,0.5,0.4888888895511627,20,180,500,2
ShapesAll,0.5183333158493042,0.398333340883255,0.5550000071525574,0.6299999952316284,0.550000011920929,0.0183333326131105,0.016666667535901,600,600,512,60
SmallKitchenAppliances,0.5120000243186951,0.3466666638851166,0.328000009059906,0.3386666774749756,0.335999995470047,0.335999995470047,0.3333333432674408,375,375,720,3
SonyAIBORobotSurface1,0.7321131229400635,0.6589018106460571,0.4292845129966736,0.8103161454200745,0.4442595541477203,0.4292845129966736,0.9068219661712646,20,601,70,2
SonyAIBORobotSurface2,0.8006296157836914,0.7628541588783264,0.8363063931465149,0.6169989705085754,0.6295907497406006,0.6169989705085754,0.8132213950157166,27,953,65,2
StarlightCurves,0.8687469363212585,0.8556337952613831,0.855876624584198,0.8559980392456055,0.8553909659385681,0.5772219300270081,0.8204225301742554,1000,8236,1024,3
Strawberry,0.9270270466804504,0.9189189076423644,0.699999988079071,0.6432432532310486,0.6324324607849121,0.6432432532310486,0.6432432532310486,613,370,235,2
SwedishLeaf,0.8432000279426575,0.7839999794960022,0.7712000012397766,0.7103999853134155,0.4047999978065491,0.0592000000178813,0.1120000034570694,500,625,128,15
Symbols,0.8291457295417786,0.6984924674034119,0.8592965006828308,0.8010050058364868,0.0894472375512123,0.2160803973674774,0.1738693416118621,25,995,398,6
SyntheticControl,0.9233333468437196,0.9666666388511658,0.9399999976158142,0.9433333277702332,0.8066666722297668,0.1899999976158142,0.8999999761581421,300,300,60,6
ToeSegmentation1,0.4736842215061188,0.4736842215061188,0.5219298005104065,0.5263158082962036,0.4868420958518982,0.5263158082962036,0.5526315569877625,40,228,277,2
ToeSegmentation2,0.1846153885126114,0.1846153885126114,0.2307692319154739,0.8153846263885498,0.3230769336223602,0.1846153885126114,0.4000000059604645,36,130,343,2
Trace,0.6399999856948853,0.7300000190734863,0.6499999761581421,0.6100000143051147,0.5299999713897705,0.2399999946355819,0.1899999976158142,100,100,275,4
TwoLeadECG,0.4995610117912292,0.4995610117912292,0.4995610117912292,0.6523265838623047,0.4547848999500274,0.4837576746940613,0.5425812005996704,23,1139,82,2
TwoPatterns,0.9837499856948853,0.9822499752044678,0.8934999704360962,0.8619999885559082,0.753250002861023,0.2487500011920929,0.546500027179718,1000,4000,128,4
UWaveGestureLibraryAll,0.9154103994369508,0.858458936214447,0.9410943388938904,0.9017308950424194,0.8894472122192383,0.1261864900588989,0.2063093185424804,896,3582,945,8
UWaveGestureLibraryX,0.7361809015274048,0.4410943686962127,0.695421576499939,0.7018425464630127,0.6379117965698242,0.1351200491189956,0.3068118393421173,896,3582,315,8
UWaveGestureLibraryY,0.6527079939842224,0.6376326084136963,0.641261875629425,0.6309324502944946,0.5586264729499817,0.20463427901268,0.4290899038314819,896,3582,315,8
UWaveGestureLibraryZ,0.67867112159729,0.6426577568054199,0.6471245288848877,0.6457286477088928,0.570351779460907,0.1247906163334846,0.2347850352525711,896,3582,315,8
Wafer,0.9889681935310364,0.990590512752533,0.993835151195526,0.9899415969848632,0.9224529266357422,0.8921155333518982,0.8921155333518982,1000,6164,152,2
Wine,0.5,0.5,0.5,0.5,0.4629629552364349,0.5,0.5,57,54,234,2
WordSynonyms,0.4592476487159729,0.5595611333847046,0.4326018691062927,0.4310344755649566,0.4059561192989349,0.2163009345531463,0.2194357365369796,267,638,270,25
Worms,0.3896103799343109,0.1688311696052551,0.3896103799343109,0.4285714328289032,0.4285714328289032,0.2077922075986862,0.4285714328289032,181,77,900,5
WormsTwoClass,0.5324675440788269,0.4285714328289032,0.5714285969734192,0.4675324559211731,0.5584415793418884,0.5584415793418884,0.5324675440788269,181,77,900,2
Yoga,0.5533333420753479,0.5356666445732117,0.6576666831970215,0.6413333415985107,0.5513333082199097,0.5356666445732117,0.4950000047683716,300,3000,426,2
